,SBER,PLZL,POLY,GAZP,LKOH,TCSG,MOEX,TATN,ROSN,SBERP,FLOT,SELG,MTLRP,NVTK,VKCO,POSI,YNDX,MTLR,MAGN,CBOM,GMKN,CHMF,PHOR,BSPB,MGNT
51,120.2,10845.5,468.0,310.52,3956.5,1669.5,86.87,413.2,378.3,115.6,37.32,50.89,152.5,819.4,305.0,859.4,1407.8,120.9,32.27,5.309,20348,739.0,7231,68.99,4324.5
52,119.55,10598.5,479.0,310.98,3903.0,1740.0,86.76,426.0,374.6,115.3,36.78,50.3,151.7,825.0,322.8,875.0,1457.0,122.27,31.2,5.235,19554,723.8,7277,69.8,4331.0
53,119.88,10357.0,486.9,322.77,3927.5,1794.5,86.33,427.2,373.6,115.45,37.3,51.88,151.0,815.0,322.2,852.0,1511.4,121.84,30.985,5.198,19398,720.0,7276,69.73,4237.5
54,121.71,10300.0,488.5,322.99,4125.0,1734.0,86.0,429.1,376.05,118.0,37.62,52.68,148.95,847.0,315.8,854.6,1566.0,122.05,32.4,5.233,19156,733.0,7237,69.69,4300.0
55,123.73,10250.0,486.9,318.25,4300.0,1765.0,87.59,440.0,389.8,118.0,39.88,48.71,152.45,889.4,313.2,860.0,1629.0,120.66,33.625,5.35,19478,745.0,7690,69.84,4399.5
56,125.18,10350.5,472.9,317.7,4326.0,1680.0,87.45,440.0,386.65,119.08,39.89,48.11,152.4,897.4,297.8,888.2,1600.0,119.88,33.6,5.357,19368,743.2,7701,72.27,4399.5
57,131.5,10408.5,471.9,318.0,4245.0,1690.5,88.83,445.9,389.8,124.9,38.0,46.37,149.5,979.2,314.4,897.8,1669.0,117.5,34.96,5.388,19224,775.0,7890,70.78,4370.0
58,133.49,10239.0,464.4,312.86,4279.5,1662.5,89.5,443.8,391.9,126.95,38.3,46.0,145.6,1022.2,312.0,919.6,1680.0,114.28,34.7,5.444,19218,794.8,7930,72.27,4365.0
59,133.21,9699.5,445.0,301.91,4179.5,1674.0,87.17,444.6,380.8,127.8,39.5,45.8,148.5,1037.4,318.4,938.0,1779.0,120.55,34.355,5.338,18940,785.8,8000,73.0,4474.0
60,138.4,9569.0,433.2,304.6,4207.0,1934.5,88.1,449.0,381.85,132.1,44.9,44.18,150.25,1047.0,339.0,928.8,1781.2,122.68,35.14,5.384,19230,808.2,7991,75.63,4469.0
61,138.3,9439.5,435.1,307.45,4160.0,1949.0,89.37,452.8,378.7,131.66,43.1,43.87,148.0,1020.0,339.4,908.6,1748.8,124.77,35.32,5.392,19198,837.8,7979,78.39,4420.0
62,141.77,9220.0,418.6,299.8,4120.0,1818.5,92.17,458.0,378.75,134.35,42.17,42.4,145.25,1014.0,330.0,905.0,1730.0,124.0,33.75,5.352,18886,832.8,7965,78.32,4360.0
63,142.35,9220.0,388.6,303.88,4109.5,1877.0,91.48,456.5,385.2,134.97,41.15,41.99,147.6,1015.0,308.6,919.0,1627.0,127.58,33.75,5.313,18588,843.0,7979,78.78,4360.0
64,139.89,9379.5,379.0,300.78,4078.0,2020.0,89.35,451.9,386.5,133.39,43.0,41.41,140.0,1034.0,325.0,900.0,1688.0,124.6,33.54,5.188,18250,840.0,8097,75.09,4359.0
65,135.44,9290.0,374.2,310.82,4056.5,2095.0,88.16,444.7,387.35,129.92,43.2,40.75,138.95,1055.0,321.2,893.0,1742.0,127.5,33.735,5.164,17944,849.8,8410,71.86,4347.5
66,132.0,8958.5,380.6,201.85,4002.5,2149.5,86.8,439.9,393.7,127.85,41.0,40.5,136.75,1076.0,335.2,919.6,1748.0,125.6,32.77,5.093,17742,859.0,8037,70.34,4312.0
67,132.8,8505.0,376.0,195.44,4095.0,2135.0,86.3,439.0,380.35,128.73,41.29,40.05,144.05,1096.0,332.8,898.0,1729.0,127.4,32.8,5.137,17350,848.2,7766,72.0,4275.0
68,135.7,8174.0,373.5,199.87,4048.0,2053.0,85.87,432.9,377.15,129.65,40.32,40.66,142.0,1044.4,341.6,875.8,1739.4,124.89,31.52,5.073,17822,848.0,7738,71.5,4314.0
69,137.1,8300.0,373.0,205.78,4150.0,2090.5,86.68,430.6,378.7,130.76,39.46,40.67,143.85,1012.6,332.8,883.0,1740.0,123.72,32.695,5.168,16980,843.8,7930,71.61,4360.0
70,135.2,8342.0,364.9,199.47,4010.0,1994.0,85.9,414.0,372.8,128.49,39.8,40.24,142.35,1027.0,322.8,880.0,1680.6,123.27,32.87,5.054,16696,831.0,7962,71.98,4458.0
